Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aged-16-to-24,Aged 16 to 24,aged-16-to-24,,0,
aged-16-years-and-over,Aged 16 years and over,aged-16-years-and-over,,1,
aged-25-to-34,Aged 25 to 34,aged-25-to-34,,2,
aged-35-to-44,Aged 35 to 44,aged-35-to-44,,3,
aged-45-to-54,Aged 45 to 54,aged-45-to-54,,4,
aged-55-to-64,Aged 55 to 64,aged-55-to-64,,5,
aged-65-to-74,Aged 65 to 74,aged-65-to-74,,6,
aged-75-and-over,Aged 75 and over,aged-75-and-over,,7,
